region,age_group,population
NORTH EAST,80+,141046
NORTH EAST,70-79,247406
NORTH EAST,60-69,321867
NORTH EAST,50-59,374722
NORTH EAST,30-49,644385
NORTH EAST,<30,951337
NORTH WEST,80+,365581
NORTH WEST,70-79,644544
NORTH WEST,60-69,805580
NORTH WEST,50-59,1012335
NORTH WEST,30-49,1843054
NORTH WEST,<30,2696362
YORKSHIRE AND THE HUMBER,80+,278810
YORKSHIRE AND THE HUMBER,70-79,481845
YORKSHIRE AND THE HUMBER,60-69,604754
YORKSHIRE AND THE HUMBER,50-59,748490
YORKSHIRE AND THE HUMBER,30-49,1362920
YORKSHIRE AND THE HUMBER,<30,2049531
EAST MIDLANDS,80+,248075
EAST MIDLANDS,70-79,449080
EAST MIDLANDS,60-69,545037
EAST MIDLANDS,50-59,679642
EAST MIDLANDS,30-49,1191124
EAST MIDLANDS,<30,1752625
WEST MIDLANDS,80+,304678
WEST MIDLANDS,70-79,515243
WEST MIDLANDS,60-69,620733
WEST MIDLANDS,50-59,792926
WEST MIDLANDS,30-49,1486019
WEST MIDLANDS,<30,2242330
EAST,80+,349870
EAST,70-79,579443
EAST,60-69,684405
EAST,50-59,867001
EAST,30-49,1602799
EAST,<30,2185643
LONDON,80+,303460
LONDON,70-79,476851
LONDON,60-69,723718
LONDON,50-59,1078660
LONDON,30-49,2878016
LONDON,<30,3541783
SOUTH EAST,80+,513283
SOUTH EAST,70-79,836494
SOUTH EAST,60-69,994575
SOUTH EAST,50-59,1286973
SOUTH EAST,30-49,2334470
SOUTH EAST,<30,3251470
SOUTH WEST,80+,350796
SOUTH WEST,70-79,593214
SOUTH WEST,60-69,680444
SOUTH WEST,50-59,796384
SOUTH WEST,30-49,1335016
SOUTH WEST,<30,1903289
